model name is decoder 
queue 8.79  s, infer 42.24 s, input 1.17  s, output 1.38  s 
Batch_size 1 , 9794  times, infer 2783.26   ms, avg 0.28 ms, 0.28 ms input 100.80    ms, avg 0.01 ms, output 93.56     ms, avg 0.01 ms 
Batch_size 2 , 4017  times, infer 1380.75   ms, avg 0.34 ms, 0.17 ms input 42.41     ms, avg 0.01 ms, output 40.02     ms, avg 0.01 ms 
Batch_size 3 , 1006  times, infer 401.10    ms, avg 0.40 ms, 0.13 ms input 10.68     ms, avg 0.01 ms, output 10.16     ms, avg 0.01 ms 
Batch_size 4 , 1727  times, infer 655.99    ms, avg 0.38 ms, 0.09 ms input 18.97     ms, avg 0.01 ms, output 17.58     ms, avg 0.01 ms 
Batch_size 5 , 1359  times, infer 428.97    ms, avg 0.32 ms, 0.06 ms input 14.90     ms, avg 0.01 ms, output 14.54     ms, avg 0.01 ms 
Batch_size 6 , 979   times, infer 361.80    ms, avg 0.37 ms, 0.06 ms input 10.74     ms, avg 0.01 ms, output 9.41      ms, avg 0.01 ms 
Batch_size 7 , 1393  times, infer 403.80    ms, avg 0.29 ms, 0.04 ms input 13.53     ms, avg 0.01 ms, output 13.29     ms, avg 0.01 ms 
Batch_size 8 , 1463  times, infer 486.29    ms, avg 0.33 ms, 0.04 ms input 16.22     ms, avg 0.01 ms, output 14.86     ms, avg 0.01 ms 
Batch_size 9 , 1180  times, infer 355.38    ms, avg 0.30 ms, 0.03 ms input 13.80     ms, avg 0.01 ms, output 12.20     ms, avg 0.01 ms 
Batch_size 10, 1094  times, infer 297.91    ms, avg 0.27 ms, 0.03 ms input 11.53     ms, avg 0.01 ms, output 11.99     ms, avg 0.01 ms 
Batch_size 11, 1464  times, infer 421.02    ms, avg 0.29 ms, 0.03 ms input 15.54     ms, avg 0.01 ms, output 18.77     ms, avg 0.01 ms 
Batch_size 12, 2069  times, infer 636.00    ms, avg 0.31 ms, 0.03 ms input 20.55     ms, avg 0.01 ms, output 21.94     ms, avg 0.01 ms 
Batch_size 13, 1302  times, infer 428.34    ms, avg 0.33 ms, 0.03 ms input 14.76     ms, avg 0.01 ms, output 14.42     ms, avg 0.01 ms 
Batch_size 14, 2816  times, infer 663.69    ms, avg 0.24 ms, 0.02 ms input 28.99     ms, avg 0.01 ms, output 32.26     ms, avg 0.01 ms 
Batch_size 15, 1571  times, infer 434.59    ms, avg 0.28 ms, 0.02 ms input 16.76     ms, avg 0.01 ms, output 17.99     ms, avg 0.01 ms 
Batch_size 16, 2186  times, infer 596.08    ms, avg 0.27 ms, 0.02 ms input 25.52     ms, avg 0.01 ms, output 25.79     ms, avg 0.01 ms 
Batch_size 17, 1782  times, infer 485.57    ms, avg 0.27 ms, 0.02 ms input 20.03     ms, avg 0.01 ms, output 21.35     ms, avg 0.01 ms 
Batch_size 18, 1044  times, infer 320.32    ms, avg 0.31 ms, 0.02 ms input 12.28     ms, avg 0.01 ms, output 12.45     ms, avg 0.01 ms 
Batch_size 19, 1326  times, infer 382.03    ms, avg 0.29 ms, 0.02 ms input 14.04     ms, avg 0.01 ms, output 16.97     ms, avg 0.01 ms 
Batch_size 20, 1600  times, infer 485.38    ms, avg 0.30 ms, 0.02 ms input 16.82     ms, avg 0.01 ms, output 19.38     ms, avg 0.01 ms 
Batch_size 21, 1465  times, infer 658.08    ms, avg 0.45 ms, 0.02 ms input 15.99     ms, avg 0.01 ms, output 18.46     ms, avg 0.01 ms 
Batch_size 22, 1208  times, infer 366.41    ms, avg 0.30 ms, 0.01 ms input 14.65     ms, avg 0.01 ms, output 16.11     ms, avg 0.01 ms 
Batch_size 23, 2498  times, infer 697.99    ms, avg 0.28 ms, 0.01 ms input 25.08     ms, avg 0.01 ms, output 31.85     ms, avg 0.01 ms 
Batch_size 24, 977   times, infer 367.54    ms, avg 0.38 ms, 0.02 ms input 10.84     ms, avg 0.01 ms, output 13.05     ms, avg 0.01 ms 
Batch_size 25, 1154  times, infer 454.28    ms, avg 0.39 ms, 0.02 ms input 12.30     ms, avg 0.01 ms, output 15.54     ms, avg 0.01 ms 
